message_id,send_time,channel,segment,program,subject,opens,clicks,replies,unsubscribes,audience_size,open_rate,ctr,reply_rate
M0000,2024-01-01,Email,Active Builders,Best Practices Post,Don’t miss tomorrow’s AMA,175,54,5,1,950,0.184,0.057,0.005
M0001,2024-01-04,Email,Customers,Feature Launch,Don’t miss tomorrow’s AMA,179,59,13,0,1923,0.093,0.031,0.007
M0002,2024-01-07,Email,Customers,Best Practices Post,Release notes & improvements,180,72,11,0,316,0.57,0.228,0.035
M0003,2024-01-07,Announcement,Active Builders,Academy Course,Join this week’s challenge,193,41,11,1,1167,0.165,0.035,0.009
M0004,2024-01-10,Email,Active Builders,Monthly Challenge,New Academy course live,188,62,6,0,1847,0.102,0.034,0.003
M0005,2024-01-13,Email,Customers,Feature Launch,Join this week’s challenge,185,66,10,0,1611,0.115,0.041,0.006
M0006,2024-01-13,Email,Contributors,Live Event,New Academy course live,184,52,11,0,950,0.194,0.055,0.012
M0007,2024-01-16,Announcement,Active Builders,Monthly Challenge,Top tips from the community,187,64,5,0,1501,0.125,0.043,0.003
M0008,2024-01-19,Email,New Members,Live Event,New Academy course live,152,60,11,0,1627,0.093,0.037,0.007
M0009,2024-01-21,DM,Contributors,Live Event,Don’t miss tomorrow’s AMA,179,59,13,0,354,0.506,0.167,0.037
M0010,2024-01-23,Email,Customers,Live Event,Top tips from the community,165,64,6,0,517,0.319,0.124,0.012
M0011,2024-01-23,Announcement,Customers,Best Practices Post,Join this week’s challenge,172,51,11,0,1947,0.088,0.026,0.006
M0012,2024-01-27,DM,New Members,Monthly Challenge,Don’t miss tomorrow’s AMA,175,66,9,0,1873,0.093,0.035,0.005
M0013,2024-01-27,Email,Lurkers,Best Practices Post,Don’t miss tomorrow’s AMA,177,62,11,1,1636,0.108,0.038,0.007
M0014,2024-01-29,Announcement,Contributors,Feature Launch,Release notes & improvements,196,72,5,0,1163,0.169,0.062,0.004
M0015,2024-01-31,Email,Contributors,Feature Launch,Top tips from the community,182,66,7,1,1883,0.097,0.035,0.004
M0016,2024-02-02,DM,New Members,Live Event,New Academy course live,171,72,8,0,1211,0.141,0.059,0.007
M0017,2024-02-06,DM,Lurkers,Academy Course,Join this week’s challenge,188,60,16,1,996,0.189,0.06,0.016
M0018,2024-02-08,Email,Customers,Feature Launch,Top tips from the community,197,51,10,1,1442,0.137,0.035,0.007
M0019,2024-02-08,Email,Active Builders,Live Event,Join this week’s challenge,181,65,10,1,1744,0.104,0.037,0.006
M0020,2024-02-10,Email,Contributors,Feature Launch,Join this week’s challenge,139,61,8,0,690,0.201,0.088,0.012
M0021,2024-02-13,Email,Lurkers,Monthly Challenge,Release notes & improvements,168,48,16,1,1730,0.097,0.028,0.009
M0022,2024-02-14,Email,Active Builders,Academy Course,Don’t miss tomorrow’s AMA,184,61,10,1,1470,0.125,0.041,0.007
M0023,2024-02-16,Email,Active Builders,Feature Launch,Don’t miss tomorrow’s AMA,172,56,13,0,772,0.223,0.073,0.017
M0024,2024-02-19,Announcement,Customers,Academy Course,Release notes & improvements,184,51,17,0,1352,0.136,0.038,0.013
M0025,2024-02-20,Email,Active Builders,Feature Launch,Join this week’s challenge,189,58,16,2,1936,0.098,0.03,0.008
M0026,2024-02-23,DM,Contributors,Academy Course,Don’t miss tomorrow’s AMA,172,78,10,2,1874,0.092,0.042,0.005
M0027,2024-02-24,Email,Active Builders,Monthly Challenge,Release notes & improvements,170,54,9,0,1650,0.103,0.033,0.005
M0028,2024-02-28,Email,Customers,Best Practices Post,Top tips from the community,172,61,11,0,1913,0.09,0.032,0.006
M0029,2024-02-28,DM,New Members,Feature Launch,New Academy course live,180,57,11,1,1137,0.158,0.05,0.01
M0030,2024-03-02,Announcement,Lurkers,Best Practices Post,Join this week’s challenge,178,61,14,0,1918,0.093,0.032,0.007
M0031,2024-03-05,Email,Lurkers,Monthly Challenge,Join this week’s challenge,194,71,10,1,1632,0.119,0.044,0.006
M0032,2024-03-07,Email,Active Builders,Academy Course,Don’t miss tomorrow’s AMA,173,63,9,1,570,0.304,0.111,0.016
M0033,2024-03-07,Announcement,Contributors,Monthly Challenge,Release notes & improvements,183,55,7,0,1255,0.146,0.044,0.006
M0034,2024-03-11,Email,Contributors,Academy Course,New Academy course live,174,50,12,0,689,0.253,0.073,0.017
M0035,2024-03-12,Email,Contributors,Feature Launch,New Academy course live,168,59,9,0,1803,0.093,0.033,0.005
